Content type,Object ID,User ID,First View,Last View,Views,Clicks,Liked,Completed,Times Completed,Last Completed,Max Duration,Total Duration,Max Duration Percent,Last Duration
Show,75,2486,2019-11-01 23:22:17.142616+00:00,2019-12-24 22:21:07.045858+00:00,5,0,,,,,,,,
Video,662,66132,2019-12-23 00:13:04.059997+00:00,2019-12-24 22:20:58.403762+00:00,4,0,,TRUE,2,20191224,117,234,100,117
Video,547,167566,2019-12-24 18:30:27.401233+00:00,2019-12-24 22:20:38.328136+00:00,6,0,,TRUE,6,20191224,229,1374,100,229
Game,159,162355,2019-12-14 22:35:35.790706+00:00,2019-12-24 22:20:30.532638+00:00,4,4,,,,,96.546,111.8140001,,96.546
Video,9419,175859,2019-12-24 18:33:05.822667+00:00,2019-12-24 22:20:07.285128+00:00,9,1,,TRUE,8,20191224,257,2056,100,257
Video,13164,171027,2019-12-17 08:55:37.179642+00:00,2019-12-24 22:19:41.839453+00:00,3,3,,,,,5,5,5,5
Video,495,66132,2019-12-23 00:11:09.055236+00:00,2019-12-24 22:19:01.928332+00:00,4,0,,TRUE,2,20191224,113,226,100,113
Game,93,172983,2019-12-24 22:19:00.746920+00:00,2019-12-24 22:19:00.749643+00:00,1,1,,,,,,,,
Video,645,167566,2019-12-24 18:28:10.633642+00:00,2019-12-24 22:18:42.430732+00:00,6,0,,TRUE,6,20191224,115,690,100,115
Video,12269,168192,2019-12-24 22:18:22.930692+00:00,2019-12-24 22:18:22.933656+00:00,1,0,,TRUE,1,20191224,300,300,100,300
Video,11001,171027,2019-12-24 22:17:50.035392+00:00,2019-12-24 22:17:53.596831+00:00,1,1,,,,,116,116,95,116
Show,541,171027,2019-12-17 08:55:37.155015+00:00,2019-12-24 22:17:37.303608+00:00,2,1,,,,,,,,
Post,79,176777,2019-12-24 22:17:15.362536+00:00,2019-12-24 22:17:15.402779+00:00,1,1,,TRUE,1,20191224,,,,
Video,494,66132,2019-12-23 00:09:14.598838+00:00,2019-12-24 22:17:06.158275+00:00,4,0,,TRUE,2,20191224,113,226,100,113
Video,9421,175859,2019-12-24 18:57:36.883209+00:00,2019-12-24 22:16:04.099111+00:00,8,0,,TRUE,8,20191224,240,1920,100,240
Video,496,66132,2019-12-23 00:07:20.646891+00:00,2019-12-24 22:15:10.422503+00:00,4,0,,TRUE,2,20191224,113,226,100,113
Game,160,172983,2019-12-22 22:32:22.261812+00:00,2019-12-24 22:13:24.818148+00:00,16,16,,,,,,,,
Video,12265,168192,2019-09-02 14:37:09.331956+00:00,2019-12-24 22:13:21.237043+00:00,2,0,,TRUE,2,20191224,300,600,100,300
Video,13651,162355,2019-12-24 22:13:03.477454+00:00,2019-12-24 22:13:08.838014+00:00,1,1,,,,,52,52,60,52
Show,77,162355,2019-11-08 19:40:30.037503+00:00,2019-12-24 22:13:03.464703+00:00,9,0,,,,,,,,
Video,10250,176680,2019-12-23 22:16:39.006632+00:00,2019-12-24 22:12:41.285906+00:00,6,0,,TRUE,5,20191224,347,1735,100,347
Game,113,172983,2019-12-24 22:12:22.524350+00:00,2019-12-24 22:12:25.981644+00:00,5,5,,,,,,,,
Video,13464,17251,2019-12-24 22:12:25.927900+00:00,2019-12-24 22:12:25.931409+00:00,1,0,,,,,1,1,11,1
Show,508,17251,2019-09-20 19:16:43.149733+00:00,2019-12-24 22:12:19.089330+00:00,2,0,,,,,,,,
Video,13992,66132,2019-12-23 00:04:13.615656+00:00,2019-12-24 22:12:01.576029+00:00,4,0,,TRUE,2,20191224,186,372,100,186
Game,24,172983,2019-12-24 22:11:57.009344+00:00,2019-12-24 22:11:57.013299+00:00,1,1,,,,,,,,
